url	chapt_title	img_path
https://stephaniemyan.github.io/hgv_modules/no_toc/index.html	1 Homepage	resources/chapt_screen_images/index.png
https://stephaniemyan.github.io/hgv_modules/no_toc/syllabus-logistics.html	1.1 Syllabus & Logistics	resources/chapt_screen_images/syllabus-logistics.png
https://stephaniemyan.github.io/hgv_modules/no_toc/course-description.html	1.2 Course Description	resources/chapt_screen_images/course-description.png
https://stephaniemyan.github.io/hgv_modules/no_toc/rstudio-cloud.html	1.3 RStudio Cloud	resources/chapt_screen_images/rstudio-cloud.png
https://stephaniemyan.github.io/hgv_modules/no_toc/de-novo-mutations.html	2 De novo Mutations	resources/chapt_screen_images/de-novo-mutations.png
https://stephaniemyan.github.io/hgv_modules/no_toc/learning-objectives.html	2.1 Learning objectives	resources/chapt_screen_images/learning-objectives.png
https://stephaniemyan.github.io/hgv_modules/no_toc/background.html	2.2 Background	resources/chapt_screen_images/background.png
https://stephaniemyan.github.io/hgv_modules/no_toc/setup.html	2.3 Setup	resources/chapt_screen_images/setup.png
https://stephaniemyan.github.io/hgv_modules/no_toc/visualizing-the-data.html	2.4 Visualizing the data	resources/chapt_screen_images/visualizing-the-data.png
https://stephaniemyan.github.io/hgv_modules/no_toc/linear-models.html	2.5 Linear models	resources/chapt_screen_images/linear-models.png
https://stephaniemyan.github.io/hgv_modules/no_toc/confidence-intervals.html	2.6 Confidence intervals	resources/chapt_screen_images/confidence-intervals.png
https://stephaniemyan.github.io/hgv_modules/no_toc/conclusion.html	2.7 Conclusion	resources/chapt_screen_images/conclusion.png
https://stephaniemyan.github.io/hgv_modules/no_toc/homework-1.html	2.8 Homework	resources/chapt_screen_images/homework-1.png
https://stephaniemyan.github.io/hgv_modules/no_toc/genome-browsers.html	3 Genome Browsers	resources/chapt_screen_images/genome-browsers.png
https://stephaniemyan.github.io/hgv_modules/no_toc/learning-objectives-1.html	3.1 Learning objectives	resources/chapt_screen_images/learning-objectives-1.png
https://stephaniemyan.github.io/hgv_modules/no_toc/dna-sequencing-data.html	3.2 DNA sequencing data	resources/chapt_screen_images/dna-sequencing-data.png
https://stephaniemyan.github.io/hgv_modules/no_toc/assembling-a-genome.html	3.3 Assembling a genome	resources/chapt_screen_images/assembling-a-genome.png
https://stephaniemyan.github.io/hgv_modules/no_toc/the-human-reference-genome.html	3.4 The human reference genome	resources/chapt_screen_images/the-human-reference-genome.png
https://stephaniemyan.github.io/hgv_modules/no_toc/ucsc-genome-browser.html	3.5 UCSC genome browser	resources/chapt_screen_images/ucsc-genome-browser.png
https://stephaniemyan.github.io/hgv_modules/no_toc/viewing-one-region-of-the-genome.html	3.6 Viewing one region of the genome	resources/chapt_screen_images/viewing-one-region-of-the-genome.png
https://stephaniemyan.github.io/hgv_modules/no_toc/customizing-browser-displays.html	3.7 Customizing browser displays	resources/chapt_screen_images/customizing-browser-displays.png
https://stephaniemyan.github.io/hgv_modules/no_toc/igv.html	3.8 IGV	resources/chapt_screen_images/igv.png
https://stephaniemyan.github.io/hgv_modules/no_toc/genomic-regions-in-igv.html	3.9 Genomic regions in IGV	resources/chapt_screen_images/genomic-regions-in-igv.png
https://stephaniemyan.github.io/hgv_modules/no_toc/loading-sequencing-data.html	3.10 Loading sequencing data	resources/chapt_screen_images/loading-sequencing-data.png
https://stephaniemyan.github.io/hgv_modules/no_toc/genomes-project.html	3.11 1000 Genomes Project	resources/chapt_screen_images/genomes-project.png
https://stephaniemyan.github.io/hgv_modules/no_toc/sra.html	3.12 SRA	resources/chapt_screen_images/sra.png
https://stephaniemyan.github.io/hgv_modules/no_toc/viewing-sequencing-reads.html	3.13 Viewing sequencing reads	resources/chapt_screen_images/viewing-sequencing-reads.png
https://stephaniemyan.github.io/hgv_modules/no_toc/interpreting-igv-alignments.html	3.14 Interpreting IGV alignments	resources/chapt_screen_images/interpreting-igv-alignments.png
https://stephaniemyan.github.io/hgv_modules/no_toc/conclusion-1.html	3.15 Conclusion	resources/chapt_screen_images/conclusion-1.png
https://stephaniemyan.github.io/hgv_modules/no_toc/homework-2.html	3.16 Homework	resources/chapt_screen_images/homework-2.png
https://stephaniemyan.github.io/hgv_modules/no_toc/evolutionary-simulations.html	4 Evolutionary Simulations	resources/chapt_screen_images/evolutionary-simulations.png
https://stephaniemyan.github.io/hgv_modules/no_toc/learning-objectives-2.html	4.1 Learning objectives	resources/chapt_screen_images/learning-objectives-2.png
https://stephaniemyan.github.io/hgv_modules/no_toc/background-1.html	4.2 Background	resources/chapt_screen_images/background-1.png
https://stephaniemyan.github.io/hgv_modules/no_toc/modeling-allele-frequencies.html	4.3 Modeling allele frequencies	resources/chapt_screen_images/modeling-allele-frequencies.png
https://stephaniemyan.github.io/hgv_modules/no_toc/setup-1.html	4.4 Setup	resources/chapt_screen_images/setup-1.png
https://stephaniemyan.github.io/hgv_modules/no_toc/a-wright-fisher-simulation.html	4.5 A Wright-Fisher simulation	resources/chapt_screen_images/a-wright-fisher-simulation.png
https://stephaniemyan.github.io/hgv_modules/no_toc/plotting.html	4.6 Plotting	resources/chapt_screen_images/plotting.png
https://stephaniemyan.github.io/hgv_modules/no_toc/creating-a-simulation-function.html	4.7 Creating a simulation function	resources/chapt_screen_images/creating-a-simulation-function.png
https://stephaniemyan.github.io/hgv_modules/no_toc/conclusion-2.html	4.8 Conclusion	resources/chapt_screen_images/conclusion-2.png
https://stephaniemyan.github.io/hgv_modules/no_toc/homework-3.html	4.9 Homework	resources/chapt_screen_images/homework-3.png
https://stephaniemyan.github.io/hgv_modules/no_toc/about-the-authors.html	About the Authors	resources/chapt_screen_images/about-the-authors.png
